# Total Phase Data Center(tm) v7.01
# (c) 2005-2021 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Summary
0,FS,257,0:29.554.082,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,258,0:29.148.039,416.006.083 ms,7 B,,49,01,IN txn   [13 POLL],80 80 80 80 0F 04 00
1,FS,259,0:29.148.039,383.997.750 ms,,,49,01,   [13 IN-NAK],
1,FS,260,0:29.564.034,2.083 us,3 B,,49,01,   IN packet,69 B1 30
1,FS,261,0:29.564.037,6.750 us,10 B,,49,01,   DATA0 packet,C3 80 80 80 80 0F 04 00 60 2A
1,FS,262,0:29.564.045,750 ns,1 B,,49,01,   ACK packet,D2
0,FS,263,0:30.414.087,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,264,0:29.596.043,832.007.250 ms,7 B,,49,01,IN txn   [26 POLL],80 80 80 80 0F 00 00
1,FS,265,0:29.596.043,799.999.000 ms,,,49,01,   [26 IN-NAK],
1,FS,266,0:30.428.038,2.083 us,3 B,,49,01,   IN packet,69 B1 30
1,FS,267,0:30.428.042,6.750 us,10 B,,49,01,   DATA1 packet,4B 80 80 80 80 0F 00 00 62 EA
1,FS,268,0:30.428.050,750 ns,1 B,,49,01,   ACK packet,D2
